CODE BARRE;ARTICLE;CODE;DESIGNATION_2;CODE_SELECTION;LOT;QTE;super Gros;demi gros;pharmacien;PPA;PRIX_SOLDE;PRIX_MIN;LABORATOIRE;fournisseur;ZONE;POIDS;CBM;CONDITIONNEMENT;QTE_STOCK_ALERTE;DATE_DERNIER_ACHAT;DATE_DERNIERE_VENTE;ART_FAMILLE_FR;OK_BLOQUE_VENTE;N°ARTICLE;N°LOT;
;TISANE HERBESAL DIGESTION;TIHE0015;;          ;          ;40;77.79;79.26;82.2;0;73.39;75.59;;18-JANV;Z3-B1;0.1;0.01;;0;05/08/2023;20/04/2024;COMPLEMENT ALLIMENTA;N;21;21;
000052;SCI FYTOMAX MEN BT / 120;FYTO0001;;          ;028       ;11;7612.72;7756.35;7899.99;9480;7181.82;7397.26;;28-95-1-16;Z3-D4;0.1;0.01;;0;04/12/2024;02/01/2025;COMPLEMENT ALLIMENTA;N;22;22;
;TISANE HERBESAL SEDATIVE;TIHE0016;;          ;;0;76.9;78.35;81.26;0;72.55;74.73;;18-1;Z3-B1;0.1;0.01;;0;01/09/2024;07/10/2024;COMPLEMENT ALLIMENTA;N;23;23;
900182;TISANE HERBESAL AEROPHAGIE;TIHE0017;;          ;;230;81.94;83.48;85.03;0;77.3;79.62;;18;Z3-E1;0.1;0.01;;0;01/09/2024;30/12/2024;COMPLEMENT ALLIMENTA;N;24;24;
000113;SCI FYTOMAX SOPK BT/120;FYTO0002;POUR WOMEN;          ;;0;7612.73;7756.37;7900;9480;7181.82;7397.27;;1-95-16;Z3-D4;0.1;0.01;;0;18/12/2024;23/12/2024;COMPLEMENT ALLIMENTA;N;25;25;
;TISANE HERBESAL HEMORROIDES-VARICEMS;TIHE0018;;          ;;20;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-B1;0.1;0.01;;0;07/04/2022;;COMPLEMENT ALLIMENTA;N;26;26;
;TISANE HERBESAL RENALE;TIHE0019;;          ;;0;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-F1;0.1;0.01;;0;01/09/2024;21/01/2025;COMPLEMENT ALLIMENTA;N;27;27;
;TISANE HERBESAL DIABETE;TIHE0020;;          ;;17;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-C1;0.1;0.01;;0;07/04/2022;20/02/2023;COMPLEMENT ALLIMENTA;N;28;28;
;TISANE HERBESAL ENURESIE;TIHE0021;;          ;;7;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-D1;0.1;0.01;;0;05/08/2023;17/02/2025;COMPLEMENT ALLIMENTA;N;29;29;
;TISANE HERBESAL ASTHME;TIHE0022;;          ;;10;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-C1;0.1;0.01;;0;07/04/2022;20/04/2024;COMPLEMENT ALLIMENTA;N;30;30;
900243;TISANE HERBESAL BEBE;TIHE0023;;          ;;920;81.94;83.48;88.9;0;77.3;79.62;;18;Z3-M1;0.1;0.01;;0;01/09/2024;23/01/2025;COMPLEMENT ALLIMENTA;N;32;32;
;TISANE HERBESAL  CHOLESTEROLE;TIHE0024;;          ;          ;10;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-F1;0.1;0.01;;0;01/09/2024;03/02/2025;COMPLEMENT ALLIMENTA;N;33;33;
000069;SCI FYTOMAX WOMEN BT / 120;FYTO0003;;          ;;0;7211.2;7347.26;7483.32;8980;6803.02;7007.11;;28-95-1-16;Z3-E5;0.1;0.01;;0;19/06/2024;21/11/2024;COMPLEMENT ALLIMENTA;N;34;34;
;TISANE HERBESAL ENERGISSANTE;TIHE0025;;          ;;20;75.11;76.53;77.95;0;70.86;72.99;;18;Z3-F1;0.1;0.01;;0;01/09/2024;20/04/2024;COMPLEMENT ALLIMENTA;N;35;35;
000083;SCI LACTO FIBRE SIROP;LACT0001;;          ;60        ;7;702.64;715.9;729.16;875;662.87;682.76;;28-JANV;Z3-B8;0.1;0.01;;0;16/01/2025;15/01/2025;COMPLEMENT ALLIMENTA;N;36;2210;
00274;TISANE HERBESAL VERVEINE;TIVE0001;;          ;;620;81.94;83.48;85.03;0;77.3;79.62;;18;Z3-A1;0.1;0.01;;0;01/09/2024;18/02/2025;COMPLEMENT ALLIMENTA;N;37;37;
;TISANE HERBESAL ORANGER;TIHE0027;;          ;;0;68.31;69.6;85.03;0;64.44;66.37;;18;SR;0.1;0.01;;0;07/04/2022;17/01/2024;COMPLEMENT ALLIMENTA;N;38;38;
;TISANE HERBESAL ARENARIA;TIHE0028;;          ;;20;81.94;83.48;85.03;0;77.3;79.62;;18;Z3-D1;0.1;0.01;;0;07/04/2022;17/01/2024;COMPLEMENT ALLIMENTA;N;39;39;
000090;SCI NUTRIGEST + MAGNESIUM     BT/30;MAGN0013;B1 B2 B6 B12;          ;;17;790.98;805.91;820.83;985;746.21;768.6;;28/01/2016;Z3-B5;0.1;0.01;;0;21/12/2024;10/02/2025;COMPLEMENT ALLIMENTA;N;40;40;
;TISANE HERBESAL CAMOMILLE;TIHE0029;;          ;;20;81.94;83.48;88.89;0;77.3;79.62;;18-JANV;Z3-C1;0.1;0.01;;0;01/09/2024;30/01/2024;COMPLEMENT ALLIMENTA;N;41;41;
;TISANE HERBESAL ORIGAN;TIHE0030;;          ;          ;40;68.31;69.6;85.3;0;64.44;66.37;;18;Z3-B1;0.1;0.01;;0;05/08/2023;;COMPLEMENT ALLIMENTA;N;42;42;
100104;MYRALE DIGEVAL APPETIT PLUS BT  30;DIGE0004;;          ;1322      ;12;546.06;556.36;566.66;680;515.15;530.6;;28-95-1-16;Z3-D3;0.1;0.01;;0;06/02/2025;17/02/2025;COMPLEMENT ALLIMENTA;N;43;43;
100128;MYRALE BE SLIM PLUS BT/180;BESL0001;;          ;;7;2296.74;2340.08;2383.41;2860.1;2166.74;2231.74;;28-1-29-95;Z3-E5;0.1;0.01;;0;10/12/2024;09/12/2024;COMPLEMENT ALLIMENTA;N;44;44;
;MYRAL DIGEVAL CHARBON PLUS BT/30;CHPL0001;;          ;;0;451.77;460.3;473.08;580.02;426.2;438.99;;1;SR;0.1;0.01;;0;15/03/2022;15/03/2023;COMPLEMENT ALLIMENTA;N;45;45;
;MYRAL DIGEVAL MAG+ 300MG BT/20;DIMA0001;;          ;;0;529.66;539.65;554.64;680.01;499.68;514.67;;1;SR;0.1;0.01;;0;15/03/2022;08/03/2023;COMPLEMENT ALLIMENTA;N;46;46;
;MYRAL MYRALAIT BT/30  50% UG;MYRA0005;;          ;0322      ;0;401.52;409.09;416.67;500;378.79;390.15;;28;Z3-B4;0.1;0.01;;0;17/08/2024;05/09/2024;COMPLEMENT ALLIMENTA;N;47;47;
600216;MAGNESUM  MARIN 300MG B1B2B6 EFFER  BT/ 24;MAGN0008;STEVIA;          ;;0;801.42;816.54;831.67;998;756.06;778.74;;1-28-16;Z3-M5;0.1;0.01;;0;14/07/2024;18/09/2024;COMPLEMENT ALLIMENTA;N;48;48;
600223;NUTRI SANTE EFFIDIGEST EFFERV  BT /24 CP;EFFI0001;;          ;;15;956.95;974.99;993.04;1191.37;902.81;929.88;;28-1-16;Z3-L2;0.1;0.01;;0;31/12/2024;17/02/2025;COMPLEMENT ALLIMENTA;N;50;50;
600186;NUTRICAP COMPRIME  ANTICHUTE BT/30CP;NUTR0003;;          ;67YA      ;10;1364.36;1390.1;1415.84;1699;1287.13;1325.74;;28/01/2029;Z3-C5;0.1;0.01;;0;05/01/2025;13/02/2025;COMPLEMENT ALLIMENTA;N;51;51;
;NUTRI SANTE NUTRICAP SHP VITALITE;NUSA0005;;          ;          ;0;0;0;0;0;0;0;;28;;0.1;0.01;;0;;;COMPLEMENT ALLIMENTA;N;54;54;
014813;NUTRI SANTE FORCE G STIMULANT;FORC0003;;          ;;0;955.6;973.63;991.66;1189.99;901.51;928.56;;28-JANV;Z3-M5;0.1;0.01;;0;27/02/2024;12/08/2024;COMPLEMENT ALLIMENTA;N;55;55;
600414;NUTRI SANTE FORCE G POWER MAX;FORC0002;;          ;1         ;23;1123.48;1137.27;1158.33;1390;1059.87;1091.68;;28-1;Z1-A7;0.1;0.01;;0;19/02/2025;19/02/2025;COMPLEMENT ALLIMENTA;N;56;3509;
600414;NUTRI SANTE FORCE G POWER MAX;FORC0002;;          ;;0;1049.89;1069.7;1089.51;1307.41;990.46;1020.17;;28-1;Z1-A7;0.1;0.01;;0;12/09/2023;01/01/2024;COMPLEMENT ALLIMENTA;O;56;56;
076538;NUTRI SANTE MANAHAE  ARTICULATION BT/30;MANA0003;;          ;;0;1866.46;1901.67;1936.89;2324.27;1760.81;1813.63;;28/01/2016;Z3-A6;0.1;0.01;;0;21/08/2022;06/07/2024;COMPLEMENT ALLIMENTA;N;57;57;
271695;NUTRI SANTE MANAHAE MENOPAUSE BT/ 30;MANA0001;SANS HORMONES;          ;          ;0;2206.1;2247.73;2289.35;2747.22;2081.23;2143.67;;CF03-1;Z3-A6;0.1;0.01;;0;17/09/2022;27/07/2023;COMPLEMENT ALLIMENTA;N;58;58;
019429;NUTRI SANTE Q10 COENZYME BT / 30;COEN0001;;          ;          ;0;2102.67;2142.34;2201.85;2699.35;1983.65;2043.16;;1;SR;0.1;0.01;;0;15/03/2022;08/08/2022;COMPLEMENT ALLIMENTA;N;59;59;
083367;POMMADE MEBO 15 G;POME0001;;          ;0943      ;60;911.93;937.95;946.82;1146.38;877.13;894.53;;28-29-1-54-16;Z6-A8;0.1;0.01;;0;20/02/2025;19/02/2025;COMPLEMENT ALLIMENTA;N;61;61;
083367;POMMADE MEBO 15 G;POME0001;;          ;0955      ;0;982.13;1000.66;1019.19;1223.03;926.54;954.34;;28-29-1-54-16;Z6-A8;0.1;0.01;;0;24/10/2022;08/05/2023;COMPLEMENT ALLIMENTA;O;61;2188;
083367;POMMADE MEBO 15 G;POME0001;;          ;0950/0953 ;0;969.03;987.31;1012;1206.72;914.18;941.61;;28-29-1-54-16;Z6-A8;0.1;0.01;;0;17/10/2022;06/03/2023;COMPLEMENT ALLIMENTA;O;61;2312;
;OMEGA 3  CAPSULE BT/30;OMEG0001;;          ;          ;0;770.34;784.88;806.68;988.95;726.74;748.54;;1;SR;0.1;0.01;;0;15/03/2022;07/08/2022;COMPLEMENT ALLIMENTA;N;62;62;
000880;# COUCHE CANBEBE N° 02 PM;COCA0002;;          ;          ;252;234.6;235.01;238.8;0;230;232.31;;98-3-;ZZ11;0.1;0.01;;0;30/01/2025;20/02/2025;COUCHE              ;N;64;64;
000897;# COUCHE CANBEBE N° 03 PM;COCA0003;;          ;          ;312;234.6;234.99;238.8;0;230;232.29;;3-98;ZZ11;0.1;0.01;;0;11/02/2025;19/02/2025;COUCHE              ;N;65;65;
000903;# COUCHE CANBEBE N° 04 PM;COCA0004;;          ;          ;240;234.62;234.99;238;0;230.03;232.29;;3-98;ZZ11;0.1;0.01;;0;11/02/2025;23/02/2025;COUCHE              ;N;66;66;
001368;# COUCHE CANBEBE N° 05 PM;COCA0005;;          ;          ;288;234.59;234.97;238.8;0;229.98;232.31;;3-98;ZZ11;0.1;0.01;;0;11/02/2025;19/02/2025;COUCHE              ;N;67;67;
000927;# COUCHE CANBEBE N° 06 PM;COCA0006;;          ;          ;120;307.35;310.38;315.6;0;301.32;304.35;;98-3-;ZZ11;0.1;0.01;;0;11/02/2025;20/02/2025;COUCHE              ;N;68;68;
004054;# COUCHE MOLFIX  N°1  PM;COMO0001;;          ;          ;0;231.75;234;238;0;227.25;229.5;;98;ZZ11;0.1;0.01;;0;13/11/2024;01/02/2025;COUCHE              ;N;69;69;
004061;# COUCHE MOLFIX  N°2  PM;COMO0002;;          ;;0;241.4;243.77;248.5;0;236.67;239.04;;3;ZZ11;0.1;0.01;;0;16/07/2023;02/02/2025;COUCHE              ;N;70;70;
004085;# COUCHE MOLFIX  N°4  PM;COMO0004;;          ;          ;0;231.75;234;238;0;227.25;229.5;;3-98;ZZ11;0.1;0.01;;0;30/12/2024;29/01/2025;COUCHE              ;N;72;72;
004092;# COUCHE MOLFIX  N°5  PM;COMO0005;;          ;          ;0;231.75;234;238;0;227.25;229.5;;;ZZ11;0.1;0.01;;0;13/11/2024;08/12/2024;COUCHE              ;N;73;73;
004108;# COUCHE MOLFIX  N°6  PM     P/10;COMO0006;;          ;          ;0;288.4;291.2;294;0;282.8;285.6;;3-98;ZZ11;0.1;0.01;;0;13/11/2024;21/12/2024;COUCHE              ;N;74;74;
000873;# COUCHE CANBEBE N° 01 PM;COCA0001;;          ;          ;360;234.64;235.01;238.8;0;229.98;232.27;;3-98;ZZ11;0.1;0.01;;0;11/02/2025;20/02/2025;COUCHE              ;N;75;75;
C001373/P002925;# SERVIETTE AWANE NORMALE CT/24 * 10/PCS;SEAW0001;;          ;          ;744;77.31;78.74;80;0;75.16;77.31;;02A-98;ZZ11;0.1;0.01;;0;03/02/2025;03/02/2025;HYGIENNE            ;N;77;77;
C00218/P000211;# SERVIETTE AWANE MAXI CT/24 * 09*PCS;SEAW0002;;          ;          ;648;75.84;76.57;80;0;73.65;75.11;;2-91-98;ZZ11;0.1;0.01;;0;03/02/2025;10/02/2025;HYGIENNE            ;N;78;78;
005308;# SERVIETTE AWANE ADO  CT/18 * 8 PCS;SEAW0003;;          ;          ;0;1469.16;1496.88;1574.5;1800;1386;1427.58;;2;Z6;0.1;0.01;;0;19/10/2023;03/06/2024;HYGIENNE            ;N;79;79;
C007248/P007241;# SERVIETTE AWANE COTON CT/16 * 8/PCS;SEAW0004;NUIT;          ;          ;12;1764;1780.8;1800;0;1713.6;1730.4;;2;Z6;0.1;0.01;;0;03/02/2025;16/01/2025;HYGIENNE            ;N;80;80;
002963;# SERVIETTE AWANE 3D LONGUE     CT/18 * 08/PCS;SEAW0005;CONFORT + NORMAL + LONGUE;          ;          ;0;1815.84;1833.3;1850.76;0;1746;1798.38;;2-98;ZZ11;0.1;0.01;;0;11/12/2024;12/01/2025;HYGIENNE            ;N;81;81;
002994;# SERVIETTE AWANE ULTRAFINE CT/16 * 9/PCS;SEAW0006;;          ;          ;3;1848;1865.6;1868.77;2160.05;1852.58;1889.71;;2;ZZ11;0.1;0.01;;0;26/10/2024;16/01/2025;HYGIENNE            ;N;82;82;
008620;# COUCHE BIMBO CT/10;COBI0001;;          ;          ;310;168.05;168;172;0;160.05;164.85;;2-91-3;ZZ11;0.1;0.01;;0;03/02/2025;19/02/2025;HYGIENNE            ;N;83;83;
006190;# COUCHE CULOTTE UNIFORM LARGE 8 PCS;CCUN0001;CT/08 * 08/PCS;          ;          ;80;728.23;731.7;735.16;0;722.12;728.23;;2-98;ZZ11;0.1;0.01;;0;04/02/2025;17/02/2025;HYGIENNE            ;N;84;84;
002431;# COUCHE CULOTTE UNIFORM MEDIUM 10PCS;CCUN0002;CT/ 8;          ;          ;36;840.24;840;840;0;808.24;824.24;;117;ZZ11;0.1;0.01;;0;11/02/2025;17/02/2025;HYGIENNE            ;N;85;85;
006848;# COUCHE CULOTTE UNIFORM LARGE     24PCS;CCUN0004;CT/3 * 24PCS                            ;          ;          ;0;1639.3;1660;1702.35;2050;1576.25;1623.54;;;Z7;0.1;0.01;;0;19/03/2022;15/08/2022;HYGIENNE            ;N;86;86;
003793;# LINGETTE BIMBIES 84 PCS;LIBI0001;CT/12 * 84 PCS;          ;          ;0;113.76;115.92;130.01;0;110.51;113.76;;02- 3;Z5;0.1;0.01;;0;23/09/2024;30/12/2024;HYGIENNE            ;N;87;87;
002277;# LINGETTE BIMBIES 72 PCS;LIBI0002;CT 12 * 72 PCS;          ;          ;31;174.9;170;181.5;0;165;169.95;;2-3;Z5;0.1;0.01;;0;23/09/2024;17/02/2025;HYGIENNE            ;N;88;88;
001232;# MOUCHOIR COTEX 10 PCS;MOCO0001;CT 24 * 10PCS;          ;          ;0;111.3;113.4;115.5;150;105;108.15;;2-CF02;Z5;0.1;0.01;;0;24/12/2023;06/02/2024;HYGIENNE            ;N;89;89;
001935;# PAPIER HYGINIQUE COTEX CONORT 04 PCS;PAHY0001;CT /15 * 04 PCS;          ;          ;0;95.4;97.2;99;150;90;92.7;;2;Z6;0.1;0.01;;0;19/10/2023;11/12/2023;HYGIENNE            ;N;90;90;
006053;# PROTEGE SLIP AWANE CT/24 * 20/PCS;PRSL0001;;          ;          ;60;113.3;115.5;120;0;111.1;112.2;;02/03/1998;Z6 / Z11;0.1;0.01;;0;06/01/2025;17/02/2025;HYGIENNE            ;N;91;91;
C000826/P001409;# COUCHE SCRATCHE UNIFORM LARGE 8 PCS;CSUN0001;CT6 * 8 PCS;          ;          ;66;523.93;534.1;534.1;0;508.67;523.93;;2-98;ZZ11;0.1;0.01;;0;03/02/2025;19/02/2025;HYGIENNE            ;N;92;92;
C000819/P001416;# COUCHE SCRATCHE UNIFORM MEDIUM 10 PCS;CSUN0003;CT/ 06 * 10 PCS;          ;          ;60;625.03;631.1;637.17;0;612.9;618.97;;2;ZZ11;0.1;0.01;;0;03/02/2025;22/02/2025;HYGIENNE            ;N;93;93;
004059;# COUCHE SCRATCHEUNIFORM LARGE AVANTAGE 26;CSUN0002;CT/ 03 * 26/PCS;          ;          ;0;1708.46;1716.75;1725.05;1824.57;1675.29;1691.87;;2;Z6;0.1;0.01;;0;27/07/2023;01/08/2024;HYGIENNE            ;N;94;94;
004066;# COUCHE SCRATCHEUNIFORM MEDIU AVANTAGE 26;CSUN0004;CT/3 * 26/PCS                           ;          ;          ;0;1630.53;1662.19;1693.85;0;1583.04;1630.53;;;Z7-A1;0.1;0.01;;0;17/11/2022;22/01/2024;HYGIENNE            ;N;95;95;
004078;# COUCHE MOLFIX  N°3  PM;COMO0003;;          ;          ;36;241.4;243.77;248.5;0;236.67;239.04;;3-98-;ZZ11;0.1;0.01;;0;30/12/2024;01/02/2025;COUCHE              ;N;98;98;
200245;OK PHARMA BIO MAG 400 MG BT/12 CP;MAGN0002;CP EFFERVESCENT;          ;582       ;0;673.75;693;705.84;847;648.09;660.92;;28-29-1-106-95-16;Z3-F3;0.1;0.01;;0;15/10/2024;20/01/2025;COMPLEMENT ALLIMENTA;N;99;99;
200245;OK PHARMA BIO MAG 400 MG BT/12 CP;MAGN0002;CP EFFERVESCENT;          ;NSB       ;130;713.53;733.91;747.5;897;686.35;699.94;;28-29-1-106-95-16;Z3-F3;0.1;0.01;;0;22/02/2025;20/02/2025;COMPLEMENT ALLIMENTA;N;99;3890;
;BIOVITA / Z MULTIVITA BT 20PCS;BIOV0001;;          ;          ;0;715.3;728.79;742.29;890.75;674.81;695.05;;28-JANV;Z3-B4;0.1;0.01;;0;29/10/2022;31/10/2022;COMPLEMENT ALLIMENTA;N;100;100;
200078;OK PHARMA PREGNA + / 30 COMP;PREG0001;FEMME ENCEINTE;          ;;43;786.98;801.82;816.67;980;742.43;764.7;;CF03-28-28-95-1-16;Z3-A3;0.1;0.01;;0;18/02/2025;17/02/2025;COMPLEMENT ALLIMENTA;N;101;101;
;VIT C + ZINC + D3 OK PHARMA  CP BT/20;VITC0001;;          ;VC2021    ;0;554;564.45;574.9;689.88;522.64;538.32;;28-JANV;Z3-L6;0.1;0.01;;0;25/04/2023;06/07/2023;COMPLEMENT ALLIMENTA;N;102;2355;
;OK PHARMA VITAMINE D3 50000 UI BT/8COMP;VITD0003;;          ;719       ;0;545.16;555.44;565.73;678.88;514.3;529.73;;28-JANV;Z3-A5;0.1;0.01;;0;30/08/2022;30/10/2022;COMPLEMENT ALLIMENTA;N;103;103;
;BIOLYNE RHUME GRIPPE BT/15 ST;BIOL0003;BIOLYNE;          ;;0;385.45;392.72;399.99;479.99;363.63;374.54;;28-1;Z3-A5;0.1;0.01;;0;16/11/2022;17/01/2024;COMPLEMENT ALLIMENTA;N;104;104;
;BIOVIVA GASTRICON BT/15 ST;GAST0006;;          ;;0;346.9;353.44;359.99;450;327.26;337.08;;28-29-1;Z3-B8;0.1;0.01;;0;17/10/2022;30/04/2024;COMPLEMENT ALLIMENTA;N;105;105;
300531;SUPLEMENTO VIT D3 1000 UI BT/30 COMP;SUPL0001;;          ;;0;412.18;419.96;447.18;590;388.85;400.52;;1;SR;0.1;0.01;;0;15/03/2022;01/02/2024;COMPLEMENT ALLIMENTA;N;106;106;
;SUPLEMENTO VIT D3 50 000 UI BT/08 COMP;SUPL0004;;          ;;0;521.95;531.8;541.65;649.98;492.41;507.18;;JANV-16;Z3-A4;0.1;0.01;;0;06/04/2023;17/07/2023;COMPLEMENT ALLIMENTA;N;107;107;
300337;SUPLEMENTO VIT D3 400 UI BT/30 COMP;SUPL0002;;          ;;0;314.37;320.31;341.07;450;296.58;305.48;;1;SR;0.1;0.01;;0;15/03/2022;02/10/2024;COMPLEMENT ALLIMENTA;N;108;108;
300344;SUPLEMENTO VIT D3 800 UI BT/30 COMP;SUPL0003;;          ;;0;356.3;363.02;386.55;510.01;336.13;346.21;;1;SR;0.1;0.01;;0;15/03/2022;01/08/2024;COMPLEMENT ALLIMENTA;N;109;109;
300320;SUPLEMENTO VIT B12 500 µG BT/30 COMP;SUPL0005;;          ;          ;0;523.97;533.85;568.46;750.02;494.31;509.14;;1;SR;0.1;0.01;;0;15/03/2022;13/11/2022;COMPLEMENT ALLIMENTA;N;110;110;
473292;SLIM FRUIT SIROP 500 ML;SLFR0001;PHARMLIFE CONCENTRE MINCEUR 500ML;          ;;0;1581.95;1611.8;1641.65;1969.98;1492.41;1537.18;;29-JANV;Z3-A8;0.1;0.01;;0;05/10/2022;17/01/2024;COMPLEMENT ALLIMENTA;N;111;111;
471052;KALMA GAZ PHARMALIFE BT/15 CP;KAGA0001;PHARMALIFE;          ;200826    ;0;650.39;662.67;674.94;810;613.58;631.99;;29/01/2028;SR;0.1;0.01;;0;18/07/2023;10/03/2024;COMPLEMENT ALLIMENTA;N;112;112;
;LAX-SENA VERTE 15MG BT/14 COMP;LAXE0001;;          ;026321    ;23;239.24;243.77;248.28;298.85;225.71;232.47;;1;Z3-A4;0.1;0.01;;0;30/08/2022;28/11/2022;COMPLEMENT ALLIMENTA;N;113;113;
;LAX-SENA BLEU 25MG BT/14 COMP;LAXE0002;EXTRAT FORTE;          ;106921    ;68;278.76;284.01;287.78;345.35;262.98;270.88;;1-CF03-113;Z3-B5;0.1;0.01;;0;20/12/2024;02/01/2025;COMPLEMENT ALLIMENTA;N;114;114;
000035;PAIN SURGRAS DERMHYGIENE 100 GR;PADE0003;PAIN SAFORELE 100 GRM;          ;;0;266.85;271.89;284.48;360;251.75;259.3;INALPHARM;28-29-1-16;Z3-G5;0.1;0.01;;0;27/10/2024;17/02/2025;HYGIENNE            ;N;115;115;
000257;SOLUTION GYNORELLE 125 ML INALPHARM;LOGY0002;SOLUTION LAVANTE DOUCE 125 ML;          ;01/G0100  ;0;376.44;390.64;397.75;507;355.13;365.78;;29-1-62-16;Z6-E5;0.1;0.01;;0;27/01/2025;03/02/2025;HYGIENNE            ;N;116;116;
